site_id,tree_type,tree_id,regen_tree_id,status,dbh,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,cored,notes
mi_1,residual,res1,r20,LS,27.7,Y,Y,2,2,1,Y,1,Y,C,n,n,n,n,1,Y,
mi_1,residual,res2,r50,LS,36,Y,Y,2,1,0,Y,4,Y,D,n,n,n,n,1,Y,
mi_1,residual,res3,r39,LS,33,Y,Y,2,1,0,Y,4,Y,D,n,n,n,n,1,Y,
mi_1,residual,res4,-,LS,26,Y,Y,2,1,0,Y,1,Y,D,n,n,n,n,1,Y,Retook point 4 Aug 2023; 
mk_1,residual,res5,-,missing,,missing,missing,,,,missing,missing,missing,missing,missing,missing,missing,missing,missing,Y,Missing all attribute data but have a core sample and GPS point for the tree. 
mk_2,residual,res6,,LS,40.4,Y,N,1,0,0,Y,1,N,D,n,n,n,n,1,Y,
mk_2,residual,res7,r355,LS,42.4,Y,Y,1,1,0,N,-,N,D,n,n,n,n,1,Y,
mk_2,residual,res8,r362,LS,37.6,Y,Y,0,0,0,N,-,N,D,n,n,n,n,1,Y,
cr_1,residual,res9,-,LS,37.9,Y,Y,1,1,0,Y,1,Y,D,n,n,n,n,1,Y,
cr_1,residual,res10,-,LS,28,Y,Y,0,0,0,N,-,N,C,n,n,n,n,1,Y,
