site_id,tr_az,tr_leng,old_transect_id,transect_id,fl_az_device,fl_az1,fl_sl1,fl_az2,fl_sl2,tr_dist1,tr_sl1,tr_dist2,tr_sl2,infect_dist,notes
mi_1,146,21.5,1,136,compass,116,-15.3,,,21.5,-10.2,,,13.5,
mi_1,146,21.5,2,140,compass,109,-12.0,,,21.5,-11.4,,,16.2,
mi_1,146,21.5,3,141,compass,112,-13.5,,,21.5,-11.7,,,10.3,
mi_2,67,16.5,1,122,compass,231,-18.0,,,11.0,16.4,15.8,0.0,15.2,These transects were layed out as slope distance (were supposed to be horizontal distance) and slopes were taken uphill. Actual horizontal distance of tr=15.8m. fl_az adjusted 180 deg and slopes made negative.
mi_2,67,16.5,2,124,compass,250,-11.4,,,16.2,11.3,,,15.6,These transects were layed out as slope distance (were supposed to be horizontal distance) and slopes were taken uphill. Actual horizontal distance of tr=16.2m. fl_az adjusted 180 deg and slopes made negative.
mi_2,67,16.5,3,129,compass,229,-9.0,,,16.2,10.9,,,16.5,These transects were layed out as slope distance (were supposed to be horizontal distance) and slopes were taken uphill. Actual horizontal distance of tr=16.2m. fl_az adjusted 180 deg and slopes made negative.
mk_1,180,21.3,,100,compass,90,-22.5,,,9.4,5.1,21.3,-8.1,19.7,
mk_1,180,21.3,,101,compass,93,-9.7,,,16.8,2.4,21.3,-9.0,20.3,
mk_1,180,21.3,,102,compass,147,-7.0,,,21.3,-4.6,,,0.0,fl_az for this transect has a decimal on paper datasheet (147.7) - makes me think it was done with rangefinder?
mk_2,0,30.5,,103,compass,33,-26.3,,,30.5,-23.4,,,27.3,
mk_2,0,30.5,,109,compass,20,-26.4,,,30.5,-26.2,,,28.4,
mk_2,0,30.5,,110,rangefinder,16,-28.7,,,30.5,-24.9,,,33.6,
mk_3,305,21.9,,115,rangefinder,139,-14.0,,,15.0,10.6,,,4.3,Extended transect length because transect ends in big blowdown patch. Wanted to record a few trees on other side to see ho wlong it takes for infection to jump patch;
mk_3,305,15.0,,120,rangefinder,109,-13.5,,,15.0,11.3,,,6.9,Blowdown patch 5-10m;
mk_3,305,15.0,,121,rangefinder,107,-15.3,,,15.0,14.5,,,0.0,
cr_1,310,32.8,,164,rangefinder,89,-33.1,90,-10.3,12.2,16.5,32.8,6.3,21.5,Chose transect length from one middle transect (165) because mature edge wraps around transects in horshoe shape and transect 164 might have infection originating from mature trees we did not map. Fall line slope 1 is from transect start; fall line slope 2 from transect end. 
cr_1,310,32.8,,165,rangefinder,125,-36.5,82,-11.5,10.0,25.1,32.8,10.3,32.3,Chose transect length from one middle transect (165) because mature edge wraps around transects in horshoe shape and transect 164 might have infection originating from mature trees we did not map. Fall line slope 1 is from transect start; fall line slope 2 from transect end. 
cr_1,310,32.8,,166,rangefinder,110,-45.7,91,-16.6,7.2,27.5,32.8,13.8,33.5,Chose transect length from one middle transect (165) because mature edge wraps around transects in horshoe shape and transect 164 might have infection originating from mature trees we did not map. Fall line slope 1 is from transect start; fall line slope 2 from transect end. 
cr_2,10,24.6,,219,rangefinder,185,-35.5,75,-4.6,10.7,27.8,24.6,-1.2,15.5,Mature component and edge of regen slope steeply down into creek. Took two slopes for fall line and transect to capture that. Fall line slope 1 is from transect start; fall line slope 2 from transect end. 
cr_2,10,24.6,,221,rangefinder,197,-34.9,85,-3.6,6.1,20.4,24.6,-1.1,17.5,Mature component and edge of regen slope steeply down into creek. Took two slopes for fall line and transect to capture that. Fall line slope 1 is from transect start; fall line slope 2 from transect end. 
cr_2,10,24.6,,222,rangefinder,185,-37.6,108,-5.1,24.6,-2.6,,,15.7,Mature component and edge of regen slope steeply down into creek. This transect starts right at slope change. Two fall line slopes to capture change but only one transect slope because it isn't affected by the slope change. Transect goes right through a cedar stump
ph_1,260,15.0,,258,rangefinder,222,-37.8,,,15.0,-37.3,,,15.0,Transect end stake hard to place. Actual transect end 0.5m farther down slope than stake. Tree heavily painted with red marks end. 
ph_1,260,15.0,,259,rangefinder,239,-38.5,,,15.0,-39.2,,,0.0,
ph_1,260,15.0,,266,rangefinder,230,-38.1,,,15.0,-34.5,,,0.0,
ph_2,305,15.0,,168,rangefinder,,0.0,,,15.0,0.0,,,0.0,"ph_2 generally flat, slope included for one transect where there was a dip"
ph_2,305,15.0,,235,rangefinder,,0.0,,,15.0,0.0,,,0.9,"ph_2 generally flat, slope included for one transect where there was a dip"
ph_2,305,15.0,,250,rangefinder,,0.0,,,6.6,-6.2,15.0,3.4,15.7,"ph_2 generally flat, slope included for one transect where there was a dip"
ph_3,75,15.0,,320,rangefinder,71,-18.8,,,15.0,-17.9,,,13.9,"ph_3 tricky slope profile, these slopes really just capture regen slope; mature comp a plateau on a cliff band above regen; regen starts at the bottom cliff band and slopes downhill"
ph_3,75,32.3,,321,rangefinder,75,-30.0,,,6.4,-30.0,32.3,-14.0,34.5,"ph_3 tricky slope profile, these slopes really just capture regen slope; mature comp a plateau on a cliff band above regen; regen starts at the bottom cliff band and slopes downhill; extended transect until three LS Hw were captured"
ph_3,75,15.0,,322,rangefinder,82,-6.9,,,15.0,-5.0,,,3.3,"ph_3 tricky slope profile, these slopes really just capture regen slope; mature comp a plateau on a cliff band above regen; regen starts at the bottom cliff band and slopes downhill"
